ID,Bmag,Vmag,B-V
2,8.27,8.29,-0.02
3,8.91,8.98,-0.07
4,9.1,9.14,-0.04
5,7.74,7.85,-0.11
6,8.46,8.51,-0.05
7,8.71,7.43,1.28
8,8.28,8.35,-0.07
9,9.37,9.46,-0.09
10,8.375,6.868,1.507
11,4.89,4.5,0.39
12,10.33,10.26,0.07
13,8.87,8.9,-0.03
14,8.96,7.8,1.16
15,9.57,9.61,-0.04
16,7.78,7.26,0.52
17,9.95,9.96,-0.01
18,8.37,8.44,-0.07
19,10.6,10.8,-0.2
20,11.44,11.31,0.13
21,9.31,9.33,-0.02
22,11.41,11.29,0.12
23,11.52,11.39,0.13
24,8.94,7.79,1.15
25,10.81,10.9,-0.09
26,10.5,10.42,0.08
27,12.02,11.82,0.2
