logAge,Mass,Umag,Bmag,Vmag,Rmag,Imag,B-V,V-I
7.0,0.409,12.571,11.443,10.108,8.831,7.268,1.334999999999999,2.8400000000000007
7.0,0.45,12.298,11.157,9.831,8.592,7.072,1.3260000000000005,2.7589999999999995
7.0,0.483,12.095,10.938,9.612,8.404,6.922,1.3260000000000005,2.6900000000000004
7.0,0.5,11.991,10.825,9.498,8.305,6.845,1.327,2.6529999999999996
7.0,0.508,11.947,10.777,9.45,8.264,6.814,1.327,2.6359999999999992
7.0,0.531,11.826,10.642,9.318,8.151,6.724,1.3239999999999998,2.5939999999999994
7.0,0.55,11.736,10.544,9.222,8.068,6.656,1.322000000000001,2.566
7.0,0.555,11.709,10.514,9.193,8.043,6.637,1.3209999999999997,2.556
7.0,0.581,11.571,10.358,9.041,7.914,6.534,1.3170000000000002,2.5070000000000006
7.0,0.6,11.487,10.263,8.948,7.834,6.47,1.3149999999999995,2.4780000000000006
7.0,0.614,11.416,10.182,8.87,7.767,6.419,1.3120000000000012,2.4509999999999996
7.0,0.647,11.261,10.002,8.692,7.614,6.301,1.3100000000000005,2.391
7.0,0.65,11.246,9.984,8.673,7.598,6.289,1.311,2.3840000000000003
7.0,0.669,11.152,9.873,8.564,7.505,6.22,1.3089999999999993,2.3440000000000003
7.0,0.696,11.022,9.716,8.404,7.365,6.12,1.3119999999999994,2.284
7.0,0.7,11.007,9.698,8.385,7.349,6.109,1.3130000000000006,2.276
7.0,0.726,10.555,9.115,7.788,6.844,5.829,1.327,1.9590000000000005
7.0,0.75,10.088,8.577,7.283,6.406,5.59,1.2939999999999996,1.6930000000000005
7.0,0.759,10.049,8.539,7.247,6.373,5.566,1.2919999999999998,1.681
7.0,0.8,9.883,8.372,7.092,6.229,5.458,1.2800000000000002,1.6339999999999995
7.0,0.828,9.76,8.251,6.98,6.127,5.383,1.270999999999999,1.5970000000000004
7.0,0.85,9.652,8.147,6.886,6.041,5.318,1.2610000000000001,1.5680000000000005
7.0,0.895,9.433,7.941,6.701,5.872,5.192,1.2400000000000002,1.5089999999999995
7.0,0.899,9.405,7.917,6.679,5.853,5.177,1.2379999999999995,1.5020000000000007
7.0,0.95,9.125,7.677,6.467,5.662,5.032,1.21,1.4349999999999996
7.0,0.998,8.805,7.424,6.247,5.467,4.879,1.1770000000000005,1.3680000000000003
7.0,1.0,8.792,7.414,6.238,5.46,4.873,1.1759999999999993,1.3650000000000002
7.0,1.031,8.591,7.262,6.109,5.347,4.784,1.1529999999999996,1.3250000000000002
7.0,1.05,8.455,7.161,6.023,5.274,4.724,1.138,1.2989999999999995
7.0,1.099,8.107,6.907,5.811,5.095,4.576,1.096,1.2350000000000003
7.0,1.105,8.071,6.881,5.79,5.077,4.561,1.0910000000000002,1.229
7.0,1.122,7.951,6.794,5.718,5.017,4.511,1.0759999999999996,1.2069999999999999
7.0,1.149,7.722,6.628,5.58,4.902,4.412,1.048,1.1680000000000001
7.0,1.156,7.67,6.592,5.549,4.877,4.39,1.0429999999999993,1.1590000000000007
7.0,1.2,7.301,6.324,5.325,4.691,4.227,0.9989999999999997,1.0979999999999999
7.0,1.213,7.192,6.245,5.259,4.635,4.178,0.9859999999999998,1.0810000000000004
7.0,1.25,6.885,6.023,5.073,4.479,4.039,0.9499999999999993,1.0340000000000007
7.0,1.264,6.774,5.944,5.007,4.424,3.99,0.9370000000000003,1.0169999999999995
7.0,1.3,6.467,5.722,4.82,4.265,3.847,0.9020000000000001,0.9730000000000003
7.0,1.315,6.34,5.63,4.742,4.198,3.787,0.8879999999999999,0.9550000000000001
7.0,1.35,6.025,5.401,4.546,4.029,3.632,0.8549999999999995,0.9140000000000001
7.0,1.369,5.86,5.278,4.442,3.938,3.549,0.8359999999999994,0.8930000000000002
7.0,1.4,5.564,5.057,4.254,3.772,3.398,0.8030000000000008,0.8559999999999994
7.0,1.4,5.562,5.056,4.253,3.771,3.397,0.8029999999999999,0.8560000000000003
7.0,1.427,5.3,4.856,4.082,3.62,3.257,0.774,0.8249999999999997
7.0,1.45,5.057,4.674,3.925,3.481,3.129,0.7490000000000006,0.7959999999999998
7.0,1.466,4.885,4.544,3.813,3.381,3.036,0.7309999999999994,0.7770000000000001
7.0,1.493,4.579,4.305,3.608,3.198,2.866,0.6969999999999996,0.742
7.0,1.5,4.497,4.239,3.552,3.148,2.82,0.6869999999999998,0.7320000000000002
7.0,1.501,4.488,4.232,3.546,3.142,2.815,0.6860000000000004,0.7309999999999999
7.0,1.523,4.228,4.02,3.364,2.978,2.662,0.6559999999999997,0.702
7.0,1.544,3.971,3.807,3.183,2.816,2.512,0.6240000000000001,0.6709999999999998
7.0,1.55,3.892,3.741,3.128,2.766,2.466,0.613,0.6619999999999999
7.0,1.553,3.854,3.71,3.101,2.743,2.445,0.609,0.6560000000000001
7.0,1.571,3.638,3.526,2.947,2.605,2.318,0.5789999999999997,0.629
7.0,1.589,3.422,3.339,2.794,2.468,2.194,0.5449999999999999,0.6000000000000001
7.0,1.6,3.299,3.233,2.708,2.393,2.126,0.5249999999999999,0.5820000000000003
7.0,1.613,3.144,3.096,2.598,2.298,2.042,0.4980000000000002,0.556
7.0,1.632,2.938,2.911,2.455,2.176,1.937,0.45599999999999996,0.518
7.0,1.649,2.769,2.751,2.333,2.074,1.852,0.4179999999999997,0.4810000000000001
7.0,1.658,2.686,2.671,2.274,2.028,1.815,0.3969999999999998,0.4590000000000001
7.0,1.674,2.562,2.547,2.189,1.966,1.774,0.3580000000000001,0.41500000000000004
7.0,1.681,2.519,2.504,2.161,1.947,1.765,0.34299999999999997,0.39600000000000013
7.0,1.694,2.473,2.456,2.139,1.943,1.776,0.31700000000000017,0.36299999999999977
7.0,1.699,2.471,2.454,2.144,1.952,1.789,0.31000000000000005,0.3550000000000002
7.0,1.714,2.487,2.469,2.173,1.992,1.838,0.2959999999999998,0.33499999999999996
7.0,1.724,2.516,2.5,2.21,2.033,1.882,0.29000000000000004,0.32800000000000007
7.0,1.735,2.571,2.558,2.267,2.089,1.939,0.2909999999999999,0.32799999999999985
7.0,1.745,2.628,2.619,2.324,2.144,1.991,0.2950000000000004,0.33299999999999974
